Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit
Element,Box:face1,Element,Box:face1,Element,Box:face1,Element,Box:face3,Element,Box:face3,Element,Box:face3,Element,Box:face5,Element,Box:face5,Element,Box:face5,Element,Box:face7,Element,Box:face7,Element,Box:face7,Element,Box:face9,Element,Box:face9,Element,Box:face9,Element,Box:face11,Element,Box:face11,Element,Box:face11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power
0.0,0.5684299925532497,0.0,0.3148463994066998,0.0,0.0,0.0,0.5746067670828814,0.0,0.3181112181022798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067656235029062,0.0,0.5837816824263593,0.0,0.32322168013385955,0.0,0.0,0.0,1.853665974923076,0.0,1.0220182130339817,0.0,0.0,0.0,0.5696104021504167,0.0,0.3153528926320223,0.0,0.0
113.49153348510141,0.5570643040890533,113.49153348510141,0.3148463994066997,113.49153348510141,0.0,113.49153348510141,0.5701476032546271,113.49153348510141,0.3181112181022798,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,7.011920468599319,113.49153348510141,0.5791505087857506,113.49153348510141,0.32322168013385955,113.49153348510141,0.0,113.49153348510141,1.8392485344996503,113.49153348510141,1.0220182130339817,113.49153348510141,0.0,113.49153348510141,0.5719100878138481,113.49153348510141,0.3153528926320224,113.49153348510141,0.8858532601863458
226.98306697020283,0.5369125792305331,226.98306697020283,0.3148463994066998,226.98306697020283,0.0,226.98306697020283,0.556696047567222,226.98306697020283,0.3181112181022798,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,6.845592399744578,226.98306697020283,0.5653849491574436,226.98306697020283,0.32322168013385955,226.98306697020283,0.0,226.98306697020283,1.7958223892415304,226.98306697020283,1.0220182130339817,226.98306697020283,0.0,226.98306697020283,0.5651895786877033,226.98306697020283,0.3153528926320223,226.98306697020283,1.7577341531357742
340.47460045530426,0.5082926944494796,340.47460045530426,0.3148463994066997,340.47460045530426,0.0,340.47460045530426,0.5344642972319789,340.47460045530426,0.3181112181022798,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,6.571295838439042,340.47460045530426,0.5427021539169108,340.47460045530426,0.32322168013385955,340.47460045530426,0.0,340.47460045530426,1.7240725830332742,340.47460045530426,1.0220182130339817,340.47460045530426,0.0,340.47460045530426,0.5495549051164422,340.47460045530426,0.31535289263202243,340.47460045530426,2.601890785612594
453.96613394040565,0.4716561067376237,453.96613394040565,0.31484639940669945,453.96613394040565,0.0,453.96613394040565,0.5038030531748336,453.96613394040565,0.31811121810227955,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,6.193357750081758,453.96613394040565,0.5114599389010158,453.96613394040565,0.32322168013385916,453.96613394040565,0.0,453.96613394040565,1.625130953067646,453.96613394040565,1.0220182130339814,453.96613394040565,0.0,453.96613394040565,0.5252527154246284,453.96613394040565,0.315352892632022,453.96613394040565,3.405008727747685
567.457667425507,0.42758072730442775,567.457667425507,0.3148463994066998,567.457667425507,0.0,567.457667425507,0.4651959834319497,567.457667425507,0.3181112181022798,567.457667425507,0.0,567.457667425507,0.0,567.457667425507,0.0,567.457667425507,5.717739944725149,567.457667425507,0.47215113649268886,567.457667425507,0.32322168013385955,567.457667425507,0.0,567.457667425507,1.5005582612494532,567.457667425507,1.0220182130339817,567.457667425507,0.0,567.457667425507,0.4926663810860791,567.457667425507,0.3153528926320223,567.457667425507,4.154421088555367
680.9492009106085,0.376761799380937,680.9492009106085,0.31484639940669956,680.9492009106085,0.0,680.9492009106085,0.4192520877547024,680.9492009106085,0.31811121810227955,680.9492009106085,0.0,680.9492009106085,0.0,680.9492009106085,0.0,680.9492009106085,5.151944961454197,680.9492009106085,0.425395815567475,680.9492009106085,0.3232216801338592,680.9492009106085,0.0,680.9492009106085,1.3523195553304401,680.9492009106085,1.0220182130339814,680.9492009106085,0.0,680.9492009106085,0.4523099437238613,680.9492009106085,0.315352892632022,680.9492009106085,4.838308358371761
794.4407343957099,0.32000092450711964,794.4407343957099,0.3148463994066998,794.4407343957099,0.0,794.4407343957099,0.366696084320405,794.4407343957099,0.3181112181022798,794.4407343957099,0.0,794.4407343957099,0.0,794.4407343957099,0.0,794.4407343957099,4.504897638119629,794.4407343957099,0.37193149348794285,794.4407343957099,0.32322168013385955,794.4407343957099,0.0,794.4407343957099,1.1827531498986732,794.4407343957099,1.0220182130339817,794.4407343957099,0.0,794.4407343957099,0.4048199998408378,794.4407343957099,0.3153528926320223,794.4407343957099,5.445884861674211
907.9322678808113,0.2581934109499861,907.9322678808113,0.3148463994066997,907.9322678808113,0.0,907.9322678808113,0.3083569707217841,907.9322678808113,0.3181112181022798,907.9322678808113,0.0,907.9322678808113,0.0,907.9322678808113,0.0,907.9322678808113,3.7868042410972294,907.9322678808113,0.3126014950837215,907.9322678808113,0.32322168013385955,907.9322678808113,0.0,907.9322678808113,0.9945337182357845,907.9322678808113,1.0220182130339817,907.9322678808113,0.0,907.9322678808113,0.35094565179933906,907.9322678808113,0.31535289263202243,907.9322678808113,5.967568876531481
1021.4238013659128,0.19231414439441513,1021.4238013659128,0.3148463994066998,1021.4238013659128,0.0,1021.4238013659128,0.24515494024946305,1021.4238013659128,0.3181112181022799,1021.4238013659128,0.0,1021.4238013659128,0.0,1021.4238013659128,0.0,1021.4238013659128,3.0089913842370093,1021.4238013659128,0.24834164282721938,1021.4238013659128,0.3232216801338595,1021.4238013659128,0.0,1021.4238013659128,0.7906300790870764,1021.4238013659128,1.0220182130339819,1021.4238013659128,0.0,1021.4238013659128,0.2915366841270054,1021.4238013659128,0.3153528926320223,1021.4238013659128,6.3951337363746745
1134.9153348510142,0.12343942285118663,1134.9153348510142,0.3148463994066998,1134.9153348510142,0.0,1134.9153348510142,0.1780899024666827,1134.9153348510142,0.3181112181022798,1134.9153348510142,0.0,1134.9153348510142,0.0,1134.9153348510142,0.0,1134.9153348510142,2.1837272850180995,1134.9153348510142,0.18016900337887468,1134.9153348510142,0.32322168013385955,1134.9153348510142,0.0,1134.9153348510142,0.574277190546561,1134.9153348510142,1.0220182130339817,1134.9153348510142,0.0,1134.9153348510142,0.22753015223787035,1134.9153348510142,0.3153528926320223,1134.9153348510142,6.7218375315990295
1248.4068683361158,0.05521874926331409,1248.4068683361158,0.31484639940670023,1248.4068683361158,0.0,1248.4068683361158,0.10868439958475036,1248.4068683361158,0.3181112181022799,1248.4068683361158,0.0,1248.4068683361158,0.0,1248.4068683361158,0.0,1248.4068683361158,1.3240281841290056,1248.4068683361158,0.10956835994818331,1248.4068683361158,0.3232216801338594,1248.4068683361158,0.0,1248.4068683361158,0.3501714063863745,1248.4068683361158,1.0220182130339819,1248.4068683361158,0.0,1248.4068683361158,0.15993559568023868,1248.4068683361158,0.3153528926320221,1248.4068683361158,6.942529367900557
1361.8984018212172,0.005223495120356893,1361.8984018212172,0.3148463994067005,1361.8984018212172,0.0,1361.8984018212172,0.042356692197110545,1361.8984018212172,0.31811121810227994,1361.8984018212172,0.0,1361.8984018212172,0.0,1361.8984018212172,0.0,1361.8984018212172,0.44345298783854,1361.8984018212172,0.04212017774079368,1361.8984018212172,0.3232216801338593,1361.8984018212172,0.0,1361.8984018212172,0.13347243608423295,1361.8984018212172,1.0220182130339814,1361.8984018212172,0.0,1361.8984018212172,0.08981910966198907,1361.8984018212172,0.3153528926320216,1361.8984018212172,7.0537305097451934
1475.3899353063186,0.0,1475.3899353063186,0.3148463994066997,1475.3899353063186,0.0,1475.3899353063186,0.005702742489318132,1475.3899353063186,0.3181112181022799,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.006032109231423959,1475.3899353063186,0.3232216801338594,1475.3899353063186,0.0,1475.3899353063186,0.015417262361135215,1475.3899353063186,1.0220182130339817,1475.3899353063186,0.44411062297244774,1475.3899353063186,0.023642519369892763,1475.3899353063186,0.3153528926320223,1475.3899353063186,7.05368913485043
1588.88146879142,0.0,1588.88146879142,0.31484639940669956,1588.88146879142,0.0,1588.88146879142,4.792097087599768E-4,1588.88146879142,0.31811121810228,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,4.713760364443975E-4,1588.88146879142,0.32322168013385955,1588.88146879142,0.0,1588.88146879142,0.0011084592862193236,1588.88146879142,1.0220182130339819,1588.88146879142,1.3246652402266483,1588.88146879142,0.0024331926594358126,1588.88146879142,0.3153528926320225,1588.88146879142,6.942407842952357
1702.3730022765214,0.0,1702.3730022765214,0.31484639940669956,1702.3730022765214,0.0,1702.3730022765214,3.763107604294444E-6,1702.3730022765214,0.31811121810228,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,3.210270039989452E-6,1702.3730022765214,0.32322168013385955,1702.3730022765214,0.0,1702.3730022765214,1.4083980565648663E-5,1702.3730022765214,1.0220182130339819,1702.3730022765214,2.1843244761000036,1702.3730022765214,3.337426790499322E-5,1702.3730022765214,0.3153528926320225,1702.3730022765214,6.721643492454452
1761.3361701961744,0.0,1761.3361701961744,0.3148463994066993,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.3181112181022796,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.32322168013385916,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,1.0220182130339814,1761.3361701961744,2.6181888475429425,1761.3361701961744,0.0,1761.3361701961744,0.31535289263202226,1761.3361701961744,6.564819252282789
1769.2175266881952,0.0,1769.2175266881952,0.3148463994066998,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.31811121810227994,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.3232216801338594,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,1.0220182130339819,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.3153528926320223,1769.2175266881952,0.0
1815.864535761623,0.0,1815.864535761623,0.3148463994066993,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.3181112181022796,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.32322168013385916,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,1.0220182130339814,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.31535289263202226,1815.864535761623,0.0
1929.3560692467245,0.0,1929.3560692467245,0.3148463994066997,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.31811121810227994,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.3232216801338595,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,1.0220182130339817,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.31535289263202243,1929.3560692467245,0.0
2042.8476027318256,0.0,2042.8476027318256,0.3148463994066997,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.3181112181022799,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.3232216801338594,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,1.0220182130339817,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.3153528926320223,2042.8476027318256,0.0
2156.339136216927,0.0,2156.339136216927,0.3148463994066998,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.31811121810227994,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.3232216801338594,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,1.0220182130339819,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.3153528926320223,2156.339136216927,0.0
2269.830669702028,0.0,2269.830669702028,0.3148463994066997,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.31811121810227994,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.3232216801338594,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,1.0220182130339817,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.3153528926320223,2269.830669702028,0.0
2383.322203187129,0.0,2383.322203187129,0.31484639940669956,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.3181112181022795,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.3232216801338593,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,1.0220182130339812,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.31535289263202204,2383.322203187129,0.0
2496.8137366722303,0.0,2496.8137366722303,0.31484639940670023,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.3181112181022797,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.3232216801338596,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,1.0220182130339819,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.3153528926320221,2496.8137366722303,0.0
